GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javafx-template,gr2181.infectiontracer,CloseContact,23,0,0,0,10,0,5,0,5,0
javafx-template,gr2181.infectiontracer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.infectiontracer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.infectiontracer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.infectiontracer,FileHandler,196,0,16,0,55,0,13,0,5,0
javafx-template,gr2181.infectiontracer,RegistrationController,47,0,0,0,13,0,3,0,3,0
javafx-template,gr2181.infectiontracer,MainController,93,0,4,0,29,0,7,0,5,0
javafx-template,gr2181.infectiontracer,User,41,135,4,16,14,37,9,14,5,8
javafx-template,gr2181.infectiontracer,InfectionTracer,101,0,12,0,30,0,9,0,3,0
javafx-template,gr2181.infectiontracer,ScreenController,114,0,0,0,23,0,4,0,4,0
javafx-template,gr2181.infectiontracer,LoginController,63,0,6,0,15,0,6,0,3,0
javafx-template,gr2181.infectiontracer,App,24,0,0,0,8,0,3,0,3,0
javafx-template,gr2181.infectiontracer,AbstractController,25,0,0,0,8,0,3,0,3,0
