GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javafx-template,gr2181.smittesporer,FileHandler,171,0,12,0,44,0,11,0,5,0
javafx-template,gr2181.smittesporer,InfectionTracer,88,0,10,0,22,0,8,0,3,0
javafx-template,gr2181.smittesporer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.smittesporer,CloseContact,23,0,0,0,10,0,5,0,5,0
javafx-template,gr2181.smittesporer,LoginController,62,0,6,0,15,0,6,0,3,0
javafx-template,gr2181.smittesporer,App,24,0,0,0,8,0,3,0,3,0
javafx-template,gr2181.smittesporer,RegistrationController,47,0,0,0,13,0,3,0,3,0
javafx-template,gr2181.smittesporer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.smittesporer,FileHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
javafx-template,gr2181.smittesporer,AbstractController,21,0,0,0,7,0,2,0,2,0
javafx-template,gr2181.smittesporer,MainController,88,0,4,0,27,0,7,0,5,0
javafx-template,gr2181.smittesporer,User,41,135,4,16,14,37,9,14,5,8
javafx-template,gr2181.smittesporer,ScreenController,99,0,0,0,19,0,4,0,4,0
